iter	RMSE
0	8996.075276
1	8550.954224
2	8130.773114
3	7777.769936
4	7433.650324
5	7129.838342
6	6865.335375
7	6633.793471
8	6427.86401
9	6229.663458
10	6059.887271
11	5897.797724
12	5756.511623
13	5636.462838
14	5529.049671
15	5433.820388
16	5344.157941
17	5257.466618
18	5182.8413
19	5114.21048
20	5041.437578
21	4982.416714
22	4918.766952
23	4860.61081
24	4813.66957
25	4768.018022
26	4718.885979
27	4683.3062
28	4643.12343
29	4614.008509
30	4581.568572
31	4548.54621
32	4523.7981
33	4489.365258
34	4463.871656
35	4437.947668
36	4418.386358
37	4395.104052
38	4370.995213
39	4349.401888
40	4326.345015
41	4305.733543
42	4279.148669
43	4260.30328
44	4243.234636
45	4227.764926
46	4209.484937
47	4186.302439
48	4165.372696
49	4142.467051
50	4120.744279
51	4102.953708
52	4084.04978
53	4066.233003
54	4045.742132
55	4034.057732
56	4013.513923
57	3997.927222
58	3983.441231
59	3968.492795
60	3955.389188
61	3940.540819
62	3923.874209
63	3911.804249
64	3894.867583
65	3879.128227
66	3861.464598
67	3847.473074
68	3833.678141
69	3819.458785
70	3808.431051
71	3796.226798
72	3783.969713
73	3770.528416
74	3759.210375
75	3748.690749
76	3732.906433
77	3718.279238
78	3707.481045
79	3694.435516
80	3684.182792
81	3670.530785
82	3663.800559
83	3655.469229
84	3644.130784
85	3628.527562
86	3618.736152
87	3608.504464
88	3596.728935
89	3586.499107
90	3575.419106
91	3564.03055
92	3557.635891
93	3553.475995
94	3543.7244
95	3533.136723
96	3524.06165
97	3516.195131
98	3504.084126
99	3488.694741
100	3479.892079
101	3473.095663
102	3465.147761
103	3452.888582
104	3442.258714
105	3432.710945
106	3426.076334
107	3418.199054
108	3410.290165
109	3399.556486
110	3391.121644
111	3385.925565
112	3379.499337
113	3371.896393
114	3365.49922
115	3361.11691
116	3346.874918
117	3336.5716
118	3325.618282
119	3314.152787
120	3306.861121
121	3300.644599
122	3291.507523
123	3286.402979
124	3277.487699
125	3271.678848
126	3265.091006
127	3257.361475
128	3251.650757
129	3245.414342
130	3236.744439
131	3226.121817
132	3219.452239
133	3212.391506
134	3209.453189
135	3200.145454
136	3193.29125
137	3184.769438
138	3175.727273
139	3168.852394
140	3164.423202
141	3158.917407
142	3153.273515
143	3145.282765
144	3138.83377
145	3131.172272
146	3124.288893
147	3120.309539
148	3109.429509
149	3103.644642
150	3098.096722
151	3089.896704
152	3081.55723
153	3077.476897
154	3069.868046
155	3062.099124
156	3054.948974
157	3049.674347
158	3037.995397
159	3030.0051
160	3026.834229
161	3021.62182
162	3015.148576
163	3007.011865
164	3002.07576
165	2993.315425
166	2986.604992
167	2978.203446
168	2972.671255
169	2967.790383
170	2959.159767
171	2951.876955
172	2945.30522
173	2939.230303
174	2931.786038
175	2924.978389
176	2920.012153
177	2914.496008
178	2909.44824
179	2902.544001
180	2899.190797
181	2894.364611
182	2886.846692
183	2879.7636
184	2872.389943
185	2866.949361
186	2862.503586
187	2855.359201
188	2848.821948
189	2845.847663
190	2838.654446
191	2835.373368
192	2832.563901
193	2827.129315
194	2823.016243
195	2816.306505
196	2810.261022
197	2805.58617
198	2797.708918
199	2795.12834
200	2789.744649
201	2782.912669
202	2772.932926
203	2767.111754
204	2760.318247
205	2752.740815
206	2747.364333
207	2743.189003
208	2737.534751
209	2731.755933
210	2729.331472
211	2726.170461
212	2723.516491
213	2719.495894
214	2714.334396
215	2706.471424
216	2704.012672
217	2697.925475
218	2692.606469
219	2688.501576
220	2686.120053
221	2682.559272
222	2680.328259
223	2676.463525
224	2674.170109
225	2667.80013
226	2663.413161
227	2657.733458
228	2651.809818
229	2646.50154
230	2643.877333
231	2639.55021
232	2635.230461
233	2633.261479
234	2628.557893
235	2624.30198
236	2619.423661
237	2614.132201
238	2612.133493
239	2609.603188
240	2603.448528
241	2600.770032
242	2596.980909
243	2593.240794
244	2587.351073
245	2581.219822
246	2575.897747
247	2572.392647
248	2568.753881
249	2562.404631
250	2556.610019
251	2554.563617
252	2550.899641
253	2547.40134
254	2542.370633
255	2536.504959
256	2533.827567
257	2530.862929
258	2529.159588
259	2526.69348
260	2521.29428
261	2517.178936
262	2512.69293
263	2512.001479
264	2510.466611
265	2504.155329
266	2500.717566
267	2500.074311
268	2497.169673
269	2494.819776
270	2492.307029
271	2485.983507
272	2483.333344
273	2478.871613
274	2475.63374
275	2470.66751
276	2466.859682
277	2466.47986
278	2461.914281
279	2459.541343
280	2454.33254
281	2450.380632
282	2448.691185
283	2441.696175
284	2435.26437
285	2432.851307
286	2430.967651
287	2430.395778
288	2428.835964
289	2424.551962
290	2421.76921
291	2417.205124
292	2412.830214
293	2408.025913
294	2402.210987
295	2400.721237
296	2397.199423
297	2396.042968
298	2392.814001
299	2390.762532
300	2389.384983
301	2385.434696
302	2379.543362
303	2377.21014
304	2374.325113
305	2373.153305
306	2367.593307
307	2363.494335
308	2361.756807
309	2357.631188
310	2357.278447
311	2356.202598
312	2351.773883
313	2346.162022
314	2342.473083
315	2339.406957
316	2334.445959
317	2328.303119
318	2324.512623
319	2321.785404
320	2320.755968
321	2316.578401
322	2310.969742
323	2304.502349
324	2300.847445
325	2298.13164
326	2293.632579
327	2293.48006
328	2288.611885
329	2284.97679
330	2282.55872
331	2278.432039
332	2271.982729
333	2268.614315
334	2263.790594
335	2262.672393
336	2259.139103
337	2254.781155
338	2250.118157
339	2247.464754
340	2245.052579
341	2240.733828
342	2239.185713
343	2237.053696
344	2232.56296
345	2229.530394
346	2228.702721
347	2226.320397
348	2222.762762
349	2217.248939
350	2214.199443
351	2209.475626
352	2205.942779
353	2203.541498
354	2200.858058
355	2197.066929
356	2194.1257
357	2192.367873
358	2189.074872
359	2188.582447
360	2187.455896
361	2181.862042
362	2179.875294
363	2177.766893
364	2177.718423
365	2174.408685
366	2173.456445
367	2171.399025
368	2167.321365
369	2164.835015
370	2160.045941
371	2158.612958
372	2154.705356
373	2154.017694
374	2152.729752
375	2147.770253
376	2144.055917
377	2141.263016
378	2137.864933
379	2135.53488
380	2130.485551
381	2126.514483
382	2124.962261
383	2122.601486
384	2117.735733
385	2116.114126
386	2115.262375
387	2112.479567
388	2107.038424
389	2105.057358
390	2102.020926
391	2101.726476
392	2098.698055
393	2095.996502
394	2094.799535
395	2091.972091
396	2088.265205
397	2083.151914
398	2080.938259
399	2079.041124
400	2076.623117
401	2073.535429
402	2070.362735
403	2069.431316
404	2067.549533
405	2063.740296
406	2060.976306
407	2059.198885
408	2057.207134
409	2056.976397
410	2052.546308
411	2049.392823
412	2048.87832
413	2044.893276
414	2041.612108
415	2036.527175
416	2032.8174
417	2028.117103
418	2025.842292
419	2022.60038
420	2020.29019
421	2017.979247
422	2014.076443
423	2011.225051
424	2006.38776
425	2003.1031
426	1998.768965
427	1996.919755
428	1991.865736
429	1991.656196
430	1989.232832
431	1986.35123
432	1982.993211
433	1981.453237
434	1978.786837
435	1976.543762
436	1973.785967
437	1970.841241
438	1966.885839
439	1964.702247
440	1962.923793
441	1960.114855
442	1957.925008
443	1955.317032
444	1949.47666
445	1945.662038
446	1943.155991
447	1940.726461
448	1938.621648
449	1934.202397
450	1931.944272
451	1929.441207
452	1927.432821
453	1923.857266
454	1921.850912
455	1920.0075
456	1917.085398
457	1914.390702
458	1910.051185
459	1907.550855
460	1905.406682
461	1903.189752
462	1901.773651
463	1899.038063
464	1897.437065
465	1894.166655
466	1890.814898
467	1887.539263
468	1884.801356
469	1882.149872
470	1879.302566
471	1875.817924
472	1872.194639
473	1870.244064
474	1867.454639
475	1866.037787
476	1863.893793
477	1861.130691
478	1860.528856
479	1858.376027
480	1855.407233
481	1851.888685
482	1847.635257
483	1845.556423
484	1844.708434
485	1842.009547
486	1839.627375
487	1837.043218
488	1835.222581
489	1834.726618
490	1833.890936
491	1832.952249
492	1830.650268
493	1830.037976
494	1828.914924
495	1828.644663
496	1827.93101
497	1826.710764
498	1826.124702
499	1824.892653
500	1821.818825
501	1820.532043
502	1817.34027
503	1815.73071
504	1814.056181
505	1811.923202
506	1809.232756
507	1806.448918
508	1804.209045
509	1803.044025
510	1800.50944
511	1798.591736
512	1795.474064
513	1793.19986
514	1791.323014
515	1789.291171
516	1788.456081
517	1786.24129
518	1783.214196
519	1782.109863
520	1781.28436
521	1778.673794
522	1776.434866
523	1773.246026
524	1771.430806
525	1770.648953
526	1768.527914
527	1767.057362
528	1765.152117
529	1762.957617
530	1760.770697
531	1756.714994
532	1756.395001
533	1756.037422
534	1754.02061
535	1751.009897
536	1748.32352
537	1746.421843
538	1744.211006
539	1741.807295
540	1739.684318
541	1737.46355
542	1736.144653
543	1735.193383
544	1733.581653
545	1731.143424
546	1729.556541
547	1727.018496
548	1724.826516
549	1721.520739
550	1719.917814
551	1719.463509
552	1717.263323
553	1715.487722
554	1713.899396
555	1712.499315
556	1710.707384
557	1708.722506
558	1706.931199
559	1704.158488
560	1703.909175
561	1702.177238
562	1700.790457
563	1698.653049
564	1698.111055
565	1695.658004
566	1693.523696
567	1693.407513
568	1691.658152
569	1689.702117
570	1687.834755
571	1686.043895
572	1684.661211
573	1683.185506
574	1680.234732
575	1679.457413
576	1679.284475
577	1677.879082
578	1674.498934
579	1671.761918
580	1670.088081
581	1669.766293
582	1669.675668
583	1667.93346
584	1665.638161
585	1665.033262
586	1663.512309
587	1660.905273
588	1657.986811
589	1656.517488
590	1654.190584
591	1651.001153
592	1650.492717
593	1647.529147
594	1645.424103
595	1643.475351
596	1641.437517
597	1640.79561
598	1638.251082
599	1636.402796
600	1635.004536
601	1633.943765
602	1631.893139
603	1630.259665
604	1627.802534
605	1625.542323
606	1623.157814
607	1621.083656
608	1620.530959
609	1617.972952
610	1615.356153
611	1611.646331
612	1609.692658
613	1607.423288
614	1606.198168
615	1604.218335
616	1602.049777
617	1600.31217
618	1596.932717
619	1595.340203
620	1593.31356
621	1590.338446
622	1587.946984
623	1586.147852
624	1584.733537
625	1582.898262
626	1581.966178
627	1580.182203
628	1576.474991
629	1574.645365
630	1571.799597
631	1569.290373
632	1569.268271
633	1567.779578
634	1566.347694
635	1564.445318
636	1562.773173
637	1562.63954
638	1560.9911
639	1558.339823
640	1556.400499
641	1554.735463
642	1552.488652
643	1550.748981
644	1549.201944
645	1547.148022
646	1546.299277
647	1543.343571
648	1541.09283
649	1538.845642
650	1537.004335
651	1534.742484
652	1532.999593
653	1531.068641
654	1529.609646
655	1527.827755
656	1527.183647
657	1525.503493
658	1523.143111
659	1521.310379
660	1519.504147
661	1517.889116
662	1516.351408
663	1515.04706
664	1512.718123
665	1511.729065
666	1509.313258
667	1506.89096
668	1505.317093
669	1503.926633
670	1502.508117
671	1501.354718
672	1499.265952
673	1497.325868
674	1495.456114
675	1492.786645
676	1490.172103
677	1488.953179
678	1486.523104
679	1484.585316
680	1481.7743
681	1479.087186
682	1476.939792
683	1473.884897
684	1472.402503
685	1471.219047
686	1469.404578
687	1467.717316
688	1466.448266
689	1463.525466
690	1461.229256
691	1458.828032
692	1456.667732
693	1455.625198
694	1454.470153
695	1452.587741
696	1451.448569
697	1449.252798
698	1447.840104
699	1446.421719
700	1443.986469
701	1442.324672
702	1440.589799
703	1438.487094
704	1435.933937
705	1434.25955
706	1433.502148
707	1431.114783
708	1428.843506
709	1428.428447
710	1427.587576
711	1425.735816
712	1424.262636
713	1422.253015
714	1419.971441
715	1418.322301
716	1416.763364
717	1415.810919
718	1413.507665
719	1412.080801
720	1410.098244
721	1408.263643
722	1407.11859
723	1405.46863
724	1403.918701
725	1403.006154
726	1401.330062
727	1399.578724
728	1399.548109
729	1398.483276
730	1396.460317
731	1395.103254
732	1393.867824
733	1393.103957
734	1392.407851
735	1391.353214
736	1389.35981
737	1387.908155
738	1386.489141
739	1383.499752
740	1382.746246
741	1380.963294
742	1379.212294
743	1377.364302
744	1375.553143
745	1373.712367
746	1370.827464
747	1368.963522
748	1366.949511
749	1365.867094
750	1364.561655
751	1363.236383
