iter	Passed	Remaining
0	2	2312
1	4	2257
2	6	2273
3	9	2285
4	11	2348
5	15	2514
6	18	2561
7	20	2544
8	23	2562
9	48	4691
10	50	4456
11	52	4277
12	55	4128
13	57	3973
14	59	3835
15	61	3720
16	63	3624
17	65	3534
18	67	3443
19	69	3366
20	71	3294
21	74	3239
22	76	3189
23	78	3140
24	80	3089
25	82	3044
26	84	3001
27	86	2963
28	88	2924
29	90	2892
30	93	2863
31	95	2846
32	98	2829
33	100	2811
34	102	2787
35	105	2766
36	107	2753
37	109	2734
38	112	2716
39	114	2701
40	116	2685
41	119	2675
42	121	2664
43	124	2650
44	126	2639
45	128	2622
46	130	2608
47	133	2598
48	135	2594
49	138	2581
50	140	2571
51	142	2558
52	145	2547
53	147	2535
54	149	2527
55	152	2520
56	154	2512
57	156	2499
58	158	2492
59	161	2480
60	163	2467
61	165	2459
62	168	2457
63	170	2455
64	172	2445
65	175	2437
66	177	2431
67	179	2424
68	182	2417
69	184	2409
70	186	2401
71	189	2395
72	191	2389
73	193	2385
74	196	2383
75	199	2383
76	202	2380
77	204	2372
78	206	2365
79	208	2361
80	211	2358
81	214	2354
82	216	2355
83	219	2351
84	222	2348
85	224	2343
86	227	2344
87	229	2340
88	232	2335
89	234	2329
90	236	2322
91	239	2317
92	254	2440
93	257	2433
94	259	2428
95	262	2425
96	264	2416
97	266	2410
98	268	2404
99	271	2397
100	273	2392
101	275	2385
102	277	2377
103	280	2371
104	282	2365
105	284	2359
106	287	2354
107	290	2352
108	292	2347
109	294	2341
110	296	2334
111	299	2331
112	301	2327
113	304	2322
114	306	2315
115	308	2308
116	310	2301
117	312	2294
118	314	2287
119	317	2284
120	319	2278
121	321	2271
122	323	2263
123	325	2259
124	328	2255
125	330	2252
126	332	2246
127	335	2241
128	337	2237
129	339	2231
130	342	2228
131	344	2223
132	346	2219
133	349	2214
134	351	2208
135	353	2203
136	355	2200
137	358	2196
138	360	2192
139	362	2187
140	365	2183
141	367	2179
142	369	2175
143	372	2170
144	374	2164
145	376	2159
146	378	2155
147	381	2152
148	383	2147
149	385	2144
150	389	2146
151	391	2143
152	393	2139
153	396	2136
154	398	2131
155	400	2126
156	403	2126
157	406	2122
158	408	2119
159	410	2116
160	413	2115
161	416	2115
162	419	2113
163	422	2111
164	424	2108
165	427	2106
166	430	2104
167	432	2101
168	435	2099
169	437	2096
170	440	2092
171	442	2087
172	444	2084
173	447	2081
174	449	2077
175	451	2073
176	453	2068
177	456	2065
178	458	2061
179	477	2133
180	479	2129
181	482	2125
182	484	2120
183	486	2116
184	488	2111
185	491	2107
186	493	2102
187	495	2097
188	497	2091
189	499	2088
190	501	2083
191	504	2079
192	506	2076
193	509	2073
194	511	2070
195	514	2068
196	516	2064
197	519	2063
198	522	2060
199	524	2056
200	527	2053
201	529	2049
202	531	2044
203	533	2039
204	535	2034
205	537	2030
206	539	2025
207	541	2019
208	543	2014
209	545	2009
210	547	2004
211	549	1999
212	551	1996
213	553	1992
214	556	1988
215	558	1984
216	560	1979
217	562	1974
218	564	1971
219	566	1967
220	568	1962
221	570	1958
222	572	1954
223	574	1949
224	576	1945
225	578	1941
226	581	1940
227	584	1937
228	586	1934
229	588	1930
230	590	1925
231	592	1921
232	595	1918
233	597	1915
234	600	1912
235	602	1909
236	604	1906
237	607	1902
238	609	1900
239	612	1900
240	616	1900
241	619	1899
242	622	1898
243	625	1897
244	628	1896
245	631	1894
246	633	1890
247	635	1886
248	637	1882
249	640	1879
250	642	1876
251	644	1872
252	646	1869
253	649	1865
254	651	1862
255	653	1859
256	656	1855
257	658	1852
258	660	1849
259	663	1846
260	665	1844
261	668	1843
262	671	1839
263	673	1835
264	675	1831
265	677	1828
266	679	1824
267	681	1821
268	683	1817
269	685	1813
270	687	1810
271	690	1806
272	692	1803
273	694	1800
274	696	1796
275	698	1792
276	700	1789
277	702	1784
278	704	1781
279	706	1776
280	708	1773
281	710	1769
282	712	1765
283	715	1762
284	717	1759
285	718	1754
286	720	1750
287	722	1746
288	724	1742
289	726	1739
290	729	1736
291	731	1732
292	733	1729
293	735	1725
294	737	1721
295	738	1717
296	740	1713
297	742	1710
298	744	1706
299	746	1702
300	748	1698
301	750	1694
302	752	1691
303	754	1687
304	756	1683
305	758	1680
306	760	1677
307	762	1673
308	764	1670
309	766	1666
310	768	1662
311	770	1658
312	772	1655
313	774	1653
314	776	1649
315	778	1645
316	780	1642
317	782	1638
318	784	1634
319	785	1630
320	788	1629
321	791	1627
322	793	1623
323	795	1620
324	797	1618
325	800	1615
326	802	1611
327	804	1608
328	806	1605
329	808	1602
330	810	1598
331	812	1595
332	814	1592
333	816	1589
334	819	1587
335	821	1583
336	823	1580
337	825	1576
338	827	1573
339	829	1570
340	831	1567
341	833	1564
342	835	1560
343	837	1557
344	839	1554
345	840	1550
346	842	1547
347	844	1544
348	847	1541
349	849	1538
350	851	1535
351	853	1532
352	855	1529
353	857	1525
354	859	1522
355	861	1519
356	863	1516
357	865	1513
358	867	1510
359	869	1506
360	871	1503
361	873	1500
362	875	1497
363	877	1494
364	879	1491
365	881	1488
366	883	1485
367	885	1481
368	887	1478
369	889	1475
370	891	1472
371	893	1469
372	895	1466
373	897	1463
374	899	1460
375	901	1457
376	903	1454
377	905	1452
378	907	1449
379	909	1446
380	911	1443
381	913	1440
382	916	1437
383	918	1434
384	919	1431
385	921	1428
386	924	1426
387	926	1423
388	928	1420
389	935	1424
390	937	1421
391	939	1418
392	941	1415
393	943	1413
394	945	1410
395	947	1407
396	950	1404
397	952	1402
398	954	1399
399	956	1396
400	958	1393
401	960	1391
402	963	1388
403	965	1385
404	966	1382
405	969	1379
406	970	1376
407	972	1373
408	974	1370
409	976	1367
410	978	1364
411	980	1361
412	982	1358
413	984	1355
414	986	1352
415	988	1349
416	990	1347
417	992	1344
418	994	1341
419	996	1338
420	999	1336
421	1001	1333
422	1003	1331
423	1005	1328
424	1008	1325
425	1010	1322
426	1011	1320
427	1014	1317
428	1015	1314
429	1018	1311
430	1020	1309
431	1022	1306
432	1024	1303
433	1026	1300
434	1028	1297
435	1029	1294
436	1031	1291
437	1033	1288
438	1035	1285
439	1037	1283
440	1039	1280
441	1041	1277
442	1043	1274
443	1045	1272
444	1047	1269
445	1049	1266
446	1051	1263
447	1053	1260
448	1055	1257
449	1057	1254
450	1059	1252
451	1061	1249
452	1063	1246
453	1065	1243
454	1067	1240
455	1069	1237
456	1071	1235
457	1073	1233
458	1075	1230
459	1077	1227
460	1079	1224
461	1081	1221
462	1083	1218
463	1085	1216
464	1087	1213
465	1089	1211
466	1091	1208
467	1093	1205
468	1095	1203
469	1097	1200
470	1099	1197
471	1101	1194
472	1103	1192
473	1105	1189
474	1107	1186
475	1109	1184
476	1111	1181
477	1113	1178
478	1115	1175
479	1117	1173
480	1119	1170
481	1121	1167
482	1123	1164
483	1125	1162
484	1126	1159
485	1128	1156
486	1130	1153
487	1133	1151
488	1134	1148
489	1137	1146
490	1139	1143
491	1140	1140
492	1142	1138
493	1144	1135
494	1146	1132
495	1148	1130
496	1150	1127
497	1152	1124
498	1154	1121
499	1156	1119
500	1158	1116
501	1160	1113
502	1162	1111
503	1164	1108
504	1166	1106
505	1168	1103
506	1170	1101
507	1172	1098
508	1174	1095
509	1176	1093
510	1178	1090
511	1181	1088
512	1183	1086
513	1185	1083
514	1187	1081
515	1189	1078
516	1191	1076
517	1193	1073
518	1195	1071
519	1197	1068
520	1199	1066
521	1201	1063
522	1204	1061
523	1206	1058
524	1208	1056
525	1210	1053
526	1212	1051
527	1214	1048
528	1216	1046
529	1218	1043
530	1220	1040
531	1221	1038
532	1224	1035
533	1225	1033
534	1227	1030
535	1229	1027
536	1231	1025
537	1233	1022
538	1236	1020
539	1238	1017
540	1240	1015
541	1241	1012
542	1243	1010
543	1245	1007
544	1247	1005
545	1249	1002
546	1251	1000
547	1253	997
548	1255	995
549	1257	992
550	1259	989
551	1261	987
552	1263	984
553	1265	982
554	1267	979
555	1269	977
556	1271	975
557	1273	972
558	1275	969
559	1277	967
560	1279	965
561	1281	962
562	1284	960
563	1286	957
564	1288	955
565	1289	952
566	1291	950
567	1293	947
568	1295	945
569	1297	942
570	1299	940
571	1301	937
572	1303	935
573	1305	932
574	1307	930
575	1309	927
576	1311	925
577	1313	922
578	1315	920
579	1317	917
580	1319	915
581	1321	912
582	1323	910
583	1325	907
584	1327	905
585	1329	903
586	1331	900
587	1333	898
588	1335	895
589	1337	893
590	1339	890
591	1341	888
592	1343	885
593	1345	883
594	1347	881
595	1350	878
596	1352	876
597	1361	878
598	1363	876
599	1365	873
600	1367	871
601	1369	869
602	1371	866
603	1373	863
604	1376	862
605	1378	859
606	1380	857
607	1382	854
608	1383	852
609	1386	849
610	1387	847
611	1390	845
612	1392	842
613	1394	840
614	1396	838
615	1399	835
616	1401	833
617	1403	831
618	1405	828
619	1407	826
620	1409	823
621	1411	821
622	1412	818
623	1415	816
624	1416	813
625	1419	811
626	1421	809
627	1423	806
628	1425	804
629	1427	801
630	1429	799
631	1430	796
632	1432	794
633	1434	792
634	1436	789
635	1438	787
636	1440	784
637	1442	782
638	1444	779
639	1446	777
640	1448	775
641	1450	772
642	1452	770
643	1454	767
644	1456	765
645	1458	762
646	1460	760
647	1462	758
648	1464	755
649	1466	753
650	1467	750
651	1469	748
652	1472	746
653	1474	743
654	1476	741
655	1478	739
656	1480	736
657	1482	734
658	1484	731
659	1485	729
660	1487	727
661	1489	724
662	1491	722
663	1494	720
664	1496	717
665	1498	715
666	1501	713
667	1503	711
668	1505	708
669	1508	706
670	1510	704
671	1513	702
672	1515	700
673	1517	698
674	1520	695
675	1522	693
676	1524	691
677	1527	689
678	1529	686
679	1531	684
680	1534	682
681	1536	680
682	1538	678
683	1541	675
684	1543	673
685	1545	671
686	1547	669
687	1550	666
688	1552	664
689	1555	662
